********  LANDSAT 9 SCENE CAPTURE SCHEDULE  ********

          ** All times listed in GMT **
--------------------------------------------------
Scenes collected by the LGS, and ASA stations
are scheduled for receipt and processing by EROS.
These scenes are available to the public from the
USGS Earth Resources Observation and Science (EROS)
archive:
https://www.usgs.gov/landsat-missions

Scenes scheduled for receipt by all other
International Ground Stations (IGS) must be
ordered through those stations.
For more information on IGS, please visit:
http://landsat.usgs.gov/about_ground_stations.php
Inclusion on this list does not guarantee that a
scene will actually be received by EROS.

--------------------------------------------------
PATH  ROW         IMAGE START          STATION
--------------------------------------------------
 103   16         015-00:43:37           LGN
 103   17         015-00:44:01           LGN
 103   18         015-00:44:25           LGN
 103   19         015-00:44:49           LGN
 103   20         015-00:45:13           LGN
 103   27         015-00:48:00           LGN
 103   28         015-00:48:24           LGN
 103   29         015-00:48:48           LGN
 103   53         015-00:58:21           LGN
 103   54         015-00:58:45           LGN
 103   61         015-01:01:33           LGN
 103   62         015-01:01:57           LGN
 103   63         015-01:02:20           LGN
 103   64         015-01:02:44           LGN
 103   65         015-01:03:08           LGN
 103   66         015-01:03:32           LGN
 103   67         015-01:03:56           LGN
 103   68         015-01:04:20           LGN
 103   69         015-01:04:44           ASN
 103   70         015-01:05:08           ASN
 103   71         015-01:05:32           ASN
 103   72         015-01:05:56           ASN
 103   73         015-01:06:20           ASN
 103   74         015-01:06:44           ASN
 103   75         015-01:07:08           ASN
 103   76         015-01:07:32           ASN
 103   77         015-01:07:56           ASN
 103   78         015-01:08:19           ASN
 103   79         015-01:08:43           ASN
 103   80         015-01:09:07           ASN
 103   81         015-01:09:31           ASN
 103   82         015-01:09:55           ASN
 103   83         015-01:10:19           ASN
 103  106         015-01:19:30           LGN
 103  107         015-01:19:54           LGN
 103  108         015-01:20:18           LGN
 103  109         015-01:20:42           LGN
 103  110         015-01:21:06           LGN
 103  111         015-01:21:30           LGN
 103  112         015-01:21:54           LGN
 103  113         015-01:22:18           LGN
 103  114         015-01:22:42           LGN
 103  115         015-01:23:06           LGN
 103  116         015-01:23:30           LGN
 103  117         015-01:23:54           LGN
 103  118         015-01:24:18           LGN
 103  119         015-01:24:42           LGN
 103  120         015-01:25:06           LGN
 103  121         015-01:25:30           LGN
 103  122         015-01:25:54           LGN
 103  166         015-01:43:29           LGN
 103  167         015-01:43:53           LGN
 103  168         015-01:44:17           LGN
 119   16         015-02:22:31           LGN
 119   17         015-02:22:54           LGN
 119   18         015-02:23:18           LGN
 119   19         015-02:23:42           BJC
 119   20         015-02:24:06           BJC
 119   21         015-02:24:30           BJC
 119   22         015-02:24:54           BJC
 119   23         015-02:25:18           BJC
 119   24         015-02:25:42           BJC
 119   25         015-02:26:05           BJC
 119   26         015-02:26:29           BJC
 119   27         015-02:26:53           BJC
 119   28         015-02:27:17           BJC
 119   29         015-02:27:41           BJC
 119   30         015-02:28:05           BJC
 119   31         015-02:28:29           BJC
 119   32         015-02:28:53           BJC
 119   33         015-02:29:16           BJC
 119   34         015-02:29:40           BJC
 119   35         015-02:30:04           BJC
 119   36         015-02:30:28           BJC
 119   37         015-02:30:52           BJC
 119   38         015-02:31:16           BJC
 119   39         015-02:31:40           BJC
 119   40         015-02:32:04           BJC
 119   41         015-02:32:28           BJC
 119   42         015-02:32:52           BJC
 119   43         015-02:33:15           BJC
 119   44         015-02:33:39           BJC
 119   45         015-02:34:03           BJC
 119   46         015-02:34:27           BJC
 119   52         015-02:36:50           SNC
 119   53         015-02:37:14           SNC
 119   54         015-02:37:38           SNC
 119   55         015-02:38:02           SNC
 119   56         015-02:38:26           SNC
 119   57         015-02:38:50           SNC
 119   58         015-02:39:14           SNC
 119   59         015-02:39:38           SNC
 119   60         015-02:40:02           SNC
 119   61         015-02:40:26           LGN
 119   62         015-02:40:50           LGN
 119   63         015-02:41:14           LGN
 119   64         015-02:41:37           LGN
 119   65         015-02:42:01           LGN
 119   66         015-02:42:25           LGN
 119  106         015-02:58:24           LGN
 119  107         015-02:58:48           LGN
 119  108         015-02:59:12           LGN
 119  109         015-02:59:35           LGN
 119  110         015-02:59:59           LGN
 119  111         015-03:00:23           LGN
 119  112         015-03:00:47           LGN
 119  113         015-03:01:11           LGN
 119  114         015-03:01:35           LGN
 119  115         015-03:01:59           LGN
 119  116         015-03:02:23           LGN
 119  117         015-03:02:47           LGN
 119  118         015-03:03:11           LGN
 119  119         015-03:03:35           LGN
 119  120         015-03:03:59           LGN
 119  121         015-03:04:23           LGN
 119  122         015-03:04:47           LGN
 119  158         015-03:19:10           LGN
 119  159         015-03:19:34           LGN
 119  160         015-03:19:58           LGN
 119  161         015-03:20:22           LGN
 119  183         015-03:29:09           LGN
 119  184         015-03:29:33           LGN
 119  204         015-03:37:31           LGN
 135   16         015-04:01:24           LGN
 135   17         015-04:01:47           LGN
 135   18         015-04:02:11           BJC
 135   19         015-04:02:35           BJC
 135   20         015-04:02:59           BJC
 135   21         015-04:03:23           BJC
 135   22         015-04:03:47           BJC
 135   23         015-04:04:11           BJC
 135   24         015-04:04:35           BJC
 135   25         015-04:04:58           BJC
 135   26         015-04:05:22           BJC
 135   27         015-04:05:46           BJC
 135   28         015-04:06:10           BJC
 135   29         015-04:06:34           BJC
 135   30         015-04:06:58           BJC
 135   31         015-04:07:22           BJC
 135   32         015-04:07:46           BJC
 135   33         015-04:08:10           BJC
 135   34         015-04:08:33           BJC
 135   35         015-04:08:57           BJC
 135   36         015-04:09:21           BJC
 135   37         015-04:09:45           BJC
 135   38         015-04:10:09           BJC
 135   39         015-04:10:33           BJC
 135   40         015-04:10:57           SNC
 135   41         015-04:11:21           SNC
 135   42         015-04:11:45           SNC
 135   43         015-04:12:08           SNC
 135   44         015-04:12:32           SNC
 135   45         015-04:12:56           SNC
 135   46         015-04:13:20           SNC
 135   47         015-04:13:44           SNC
 135   97         015-04:33:41           LGN
 135  106         015-04:37:17           LGN
 135  107         015-04:37:41           LGN
 135  108         015-04:38:05           LGN
 135  109         015-04:38:29           LGN
 135  110         015-04:38:53           LGN
 135  111         015-04:39:17           LGN
 135  112         015-04:39:41           LGN
 135  113         015-04:40:05           LGN
 135  114         015-04:40:29           LGN
 135  115         015-04:40:53           LGN
 135  116         015-04:41:17           LGN
 135  117         015-04:41:40           LGN
 135  118         015-04:42:04           LGN
 135  119         015-04:42:28           LGN
 135  120         015-04:42:52           LGN
 135  121         015-04:43:16           LGN
 135  122         015-04:43:40           LGN
 135  130         015-04:46:52           LGN
 135  131         015-04:47:16           LGN
 135  208         015-05:18:00           LGS
 135  209         015-05:18:24           LGS
 151   16         015-05:40:17           LGN
 151   17         015-05:40:41           LGN
 151   18         015-05:41:04           KHC
 151   19         015-05:41:28           KHC
 151   20         015-05:41:52           KHC
 151   21         015-05:42:16           KHC
 151   22         015-05:42:40           KHC
 151   23         015-05:43:04           KHC
 151   24         015-05:43:28           KHC
 151   25         015-05:43:52           KHC
 151   26         015-05:44:15           KHC
 151   27         015-05:44:39           KHC
 151   28         015-05:45:03           KHC
 151   29         015-05:45:27           KHC
 151   30         015-05:45:51           KHC
 151   31         015-05:46:15           KHC
 151   32         015-05:46:39           KHC
 151   33         015-05:47:03           KHC
 151   34         015-05:47:26           KHC
 151   35         015-05:47:50           KHC
 151   36         015-05:48:14           KHC
 151   37         015-05:48:38           KHC
 151   38         015-05:49:02           KHC
 151   39         015-05:49:26           KHC
 151   40         015-05:49:50           KHC
 151   41         015-05:50:14           KHC
 151   42         015-05:50:38           KHC
 151   43         015-05:51:02           KHC
 151   44         015-05:51:25           KHC
 151   45         015-05:51:49           KHC
 151   71         015-06:02:11           LGN
 151   72         015-06:02:35           LGN
 151   92         015-06:10:34           LGN
 151  107         015-06:16:34           LGN
 151  108         015-06:16:58           LGN
 151  109         015-06:17:22           LGN
 151  110         015-06:17:46           LGN
 151  111         015-06:18:10           LGN
 151  112         015-06:18:34           LGN
