********  LANDSAT 9 SCENE CAPTURE SCHEDULE  ********

          ** All times listed in GMT **
--------------------------------------------------
Scenes collected by the LGS, and ASA stations
are scheduled for receipt and processing by EROS.
These scenes are available to the public from the
USGS Earth Resources Observation and Science (EROS)
archive:
https://www.usgs.gov/landsat-missions

Scenes scheduled for receipt by all other
International Ground Stations (IGS) must be
ordered through those stations.
For more information on IGS, please visit:
http://landsat.usgs.gov/about_ground_stations.php
Inclusion on this list does not guarantee that a
scene will actually be received by EROS.

--------------------------------------------------
PATH  ROW         IMAGE START          STATION
--------------------------------------------------
  93   62         009-00:00:06           LGN
  93   63         009-00:00:30           LGN
  93   64         009-00:00:54           LGN
  93   65         009-00:01:18           LGN
  93   66         009-00:01:42           LGN
  93   67         009-00:02:06           LGN
  93   68         009-00:02:30           LGN
  93   71         009-00:03:42           LGN
  93   72         009-00:04:06           LGN
  93   73         009-00:04:30           LGN
  93   74         009-00:04:54           ASN
  93   75         009-00:05:17           ASN
  93   76         009-00:05:41           ASN
  93   77         009-00:06:05           ASN
  93   78         009-00:06:29           ASN
  93   79         009-00:06:53           ASN
  93   80         009-00:07:17           ASN
  93   81         009-00:07:41           ASN
  93   82         009-00:08:05           ASN
  93   83         009-00:08:29           ASN
  93   84         009-00:08:53           ASN
  93   85         009-00:09:17           ASN
  93   86         009-00:09:41           ASN
  93   87         009-00:10:05           ASN
  93   88         009-00:10:29           ASN
  93  106         009-00:17:40           LGN
  93  107         009-00:18:04           LGN
  93  108         009-00:18:28           LGN
  93  109         009-00:18:52           LGN
  93  110         009-00:19:16           LGN
  93  111         009-00:19:40           LGN
  93  112         009-00:20:04           LGN
  93  113         009-00:20:28           LGN
  93  114         009-00:20:52           LGN
  93  115         009-00:21:16           LGN
  93  116         009-00:21:40           LGN
  93  117         009-00:22:04           LGN
  93  118         009-00:22:28           LGN
  93  119         009-00:22:52           LGN
  93  120         009-00:23:16           LGN
  93  121         009-00:23:40           LGN
  93  122         009-00:24:04           LGN
 109   17         009-01:21:04           LGN
 109   18         009-01:21:28           LGN
 109   19         009-01:21:52           LGN
 109   22         009-01:23:04           LGN
 109   23         009-01:23:27           LGN
 109   24         009-01:23:51           BJC
 109   25         009-01:24:15           BJC
 109   26         009-01:24:39           BJC
 109   27         009-01:25:03           BJC
