********  LANDSAT 9 SCENE CAPTURE SCHEDULE  ********

          ** All times listed in GMT **
--------------------------------------------------
Scenes collected by the LGS, and ASA stations
are scheduled for receipt and processing by EROS.
These scenes are available to the public from the
USGS Earth Resources Observation and Science (EROS)
archive:
https://www.usgs.gov/landsat-missions

Scenes scheduled for receipt by all other
International Ground Stations (IGS) must be
ordered through those stations.
For more information on IGS, please visit:
http://landsat.usgs.gov/about_ground_stations.php
Inclusion on this list does not guarantee that a
scene will actually be received by EROS.

--------------------------------------------------
PATH  ROW         IMAGE START          STATION
--------------------------------------------------
  96   16         014-00:00:22           LGN
  96   17         014-00:00:45           LGN
  96   18         014-00:01:09           LGN
  96   43         014-00:11:06           LGN
  96   54         014-00:15:29           LGN
  96   55         014-00:15:53           LGN
  96   56         014-00:16:17           LGN
  96   61         014-00:18:17           LGN
  96   62         014-00:18:41           LGN
  96   63         014-00:19:05           LGN
  96   64         014-00:19:29           LGN
  96   65         014-00:19:52           LGN
  96   66         014-00:20:16           LGN
  96   67         014-00:20:40           LGN
  96   68         014-00:21:04           LGN
  96   69         014-00:21:28           LGN
  96   70         014-00:21:52           LGN
  96   71         014-00:22:16           ASN
  96   72         014-00:22:40           ASN
  96   73         014-00:23:04           ASN
  96   74         014-00:23:28           ASN
  96   75         014-00:23:52           ASN
  96   76         014-00:24:16           ASN
  96   77         014-00:24:40           ASN
  96   78         014-00:25:04           ASN
  96   79         014-00:25:28           ASN
  96   80         014-00:25:52           ASN
  96   81         014-00:26:15           ASN
  96   82         014-00:26:39           ASN
  96   83         014-00:27:03           ASN
  96   84         014-00:27:27           ASN
  96   85         014-00:27:51           ASN
  96   86         014-00:28:15           ASN
  96   87         014-00:28:39           ASN
  96  106         014-00:36:15           LGN
  96  107         014-00:36:39           LGN
  96  108         014-00:37:03           LGN
  96  109         014-00:37:27           LGN
  96  110         014-00:37:51           LGN
  96  111         014-00:38:15           LGN
  96  112         014-00:38:38           LGN
  96  113         014-00:39:02           LGN
  96  114         014-00:39:26           LGN
  96  115         014-00:39:50           LGN
  96  116         014-00:40:14           LGN
  96  117         014-00:40:38           LGN
  96  118         014-00:41:02           LGN
  96  119         014-00:41:26           LGN
  96  120         014-00:41:50           LGN
  96  121         014-00:42:14           LGN
  96  122         014-00:42:38           LGN
  96  144         014-00:51:26           LGN
 112   16         014-01:39:15           LGN
 112   17         014-01:39:39           LGN
 112   18         014-01:40:02           LGN
 112   19         014-01:40:26           LGN
 112   20         014-01:40:50           LGN
 112   21         014-01:41:14           LGN
 112   22         014-01:41:38           BJC
 112   23         014-01:42:02           BJC
 112   24         014-01:42:26           BJC
 112   25         014-01:42:50           BJC
 112   26         014-01:43:13           BJC
 112   27         014-01:43:37           BJC
 112   28         014-01:44:01           BJC
 112   29         014-01:44:25           BJC
 112   30         014-01:44:49           BJC
 112   35         014-01:46:48           BJC
 112   36         014-01:47:12           BJC
 112   37         014-01:47:36           BJC
 112   38         014-01:48:00           BJC
 112   39         014-01:48:24           BJC
 112   40         014-01:48:48           BJC
 112   41         014-01:49:12           BJC
 112   52         014-01:53:35           SNC
 112   53         014-01:53:59           SNC
 112   54         014-01:54:22           SNC
 112   55         014-01:54:46           SNC
 112   56         014-01:55:10           SNC
 112   57         014-01:55:34           LGN
 112   58         014-01:55:58           LGN
 112   59         014-01:56:22           LGN
 112   60         014-01:56:46           LGN
 112   61         014-01:57:10           LGN
 112   62         014-01:57:34           LGN
 112   63         014-01:57:58           LGN
 112   64         014-01:58:22           LGN
 112   65         014-01:58:46           LGN
 112   66         014-01:59:09           LGN
 112   67         014-01:59:33           LGN
 112   68         014-01:59:57           LGN
 112   69         014-02:00:21           LGN
 112   70         014-02:00:45           ASN
 112   71         014-02:01:09           ASN
 112   72         014-02:01:33           ASN
 112   73         014-02:01:57           ASN
 112   74         014-02:02:21           ASN
 112   75         014-02:02:45           ASN
 112   76         014-02:03:09           ASN
 112   77         014-02:03:33           ASN
 112   78         014-02:03:57           ASN
 112   79         014-02:04:21           ASN
 112   80         014-02:04:45           ASN
 112   81         014-02:05:09           ASN
 112   82         014-02:05:32           ASN
 112   83         014-02:05:56           ASN
 112   84         014-02:06:20           ASN
