********  LANDSAT 9 SCENE CAPTURE SCHEDULE  ********

          ** All times listed in GMT **
--------------------------------------------------
Scenes collected by the LGS, and ASA stations
are scheduled for receipt and processing by EROS.
These scenes are available to the public from the
USGS Earth Resources Observation and Science (EROS)
archive:
https://www.usgs.gov/landsat-missions

Scenes scheduled for receipt by all other
International Ground Stations (IGS) must be
ordered through those stations.
For more information on IGS, please visit:
http://landsat.usgs.gov/about_ground_stations.php
Inclusion on this list does not guarantee that a
scene will actually be received by EROS.

--------------------------------------------------
PATH  ROW         IMAGE START          STATION
--------------------------------------------------
 102   17         008-00:37:48           LGN
 102   18         008-00:38:12           LGN
 102   19         008-00:38:36           LGN
 102   20         008-00:38:59           LGN
 102   21         008-00:39:23           LGN
 102   22         008-00:39:47           LGN
 102   26         008-00:41:23           LGN
 102   27         008-00:41:47           LGN
 102   28         008-00:42:11           LGN
 102   54         008-00:52:32           LGN
 102   55         008-00:52:56           LGN
 102   61         008-00:55:19           LGN
 102   62         008-00:55:43           LGN
 102   63         008-00:56:07           LGN
 102   64         008-00:56:31           LGN
 102   65         008-00:56:55           LGN
 102   66         008-00:57:19           LGN
 102   67         008-00:57:43           LGN
 102   68         008-00:58:07           LGN
 102   69         008-00:58:31           ASN
 102   70         008-00:58:54           ASN
 102   71         008-00:59:18           ASN
 102   72         008-00:59:42           ASN
 102   73         008-01:00:06           ASN
 102   74         008-01:00:30           ASN
 102   75         008-01:00:54           ASN
 102   76         008-01:01:18           ASN
 102   77         008-01:01:42           ASN
 102   78         008-01:02:06           ASN
 102   79         008-01:02:30           ASN
 102   80         008-01:02:54           ASN
 102   81         008-01:03:18           ASN
 102   82         008-01:03:42           ASN
 102   83         008-01:04:06           ASN
 102  106         008-01:13:17           LGN
 102  107         008-01:13:41           LGN
 102  108         008-01:14:05           LGN
 102  109         008-01:14:29           LGN
 102  110         008-01:14:53           LGN
 102  111         008-01:15:17           LGN
 102  112         008-01:15:41           LGN
 102  113         008-01:16:05           LGN
 102  114         008-01:16:29           LGN
 102  115         008-01:16:53           LGN
 102  116         008-01:17:17           LGN
 102  117         008-01:17:41           LGN
 102  118         008-01:18:05           LGN
 102  119         008-01:18:29           LGN
 102  120         008-01:18:53           LGN
 102  121         008-01:19:17           LGN
 102  122         008-01:19:41           LGN
 102  170         008-01:38:51           LGN
 118   17         008-02:16:41           LGN
 118   18         008-02:17:05           LGN
 118   19         008-02:17:29           BJC
 118   20         008-02:17:53           BJC
 118   21         008-02:18:16           BJC
 118   22         008-02:18:40           BJC
 118   23         008-02:19:04           BJC
 118   24         008-02:19:28           BJC
 118   25         008-02:19:52           BJC
 118   26         008-02:20:16           BJC
 118   27         008-02:20:40           BJC
 118   28         008-02:21:04           BJC
 118   29         008-02:21:28           BJC
 118   30         008-02:21:51           BJC
 118   31         008-02:22:15           BJC
 118   32         008-02:22:39           BJC
 118   33         008-02:23:03           BJC
 118   34         008-02:23:27           BJC
 118   35         008-02:23:51           BJC
 118   36         008-02:24:15           BJC
 118   37         008-02:24:39           BJC
 118   38         008-02:25:02           BJC
 118   39         008-02:25:26           BJC
 118   40         008-02:25:50           BJC
 118   41         008-02:26:14           BJC
 118   42         008-02:26:38           BJC
 118   43         008-02:27:02           BJC
 118   44         008-02:27:26           BJC
 118   45         008-02:27:50           BJC
 118   49         008-02:29:25           SNC
 118   50         008-02:29:49           SNC
 118   51         008-02:30:13           SNC
 118   52         008-02:30:37           SNC
 118   53         008-02:31:01           SNC
 118   54         008-02:31:25           SNC
 118   55         008-02:31:49           SNC
 118   56         008-02:32:13           SNC
 118   57         008-02:32:37           SNC
 118   58         008-02:33:01           SNC
 118   59         008-02:33:24           SNC
 118   60         008-02:33:48           SNC
 118   61         008-02:34:12           LGN
 118   62         008-02:34:36           LGN
 118   63         008-02:35:00           LGN
 118   64         008-02:35:24           LGN
 118   65         008-02:35:48           LGN
 118   66         008-02:36:12           LGN
 118  106         008-02:52:10           LGN
 118  107         008-02:52:34           LGN
 118  108         008-02:52:58           LGN
 118  109         008-02:53:22           LGN
 118  110         008-02:53:46           LGN
 118  111         008-02:54:10           LGN
 118  112         008-02:54:34           LGN
 118  113         008-02:54:58           LGN
 118  114         008-02:55:22           LGN
 118  115         008-02:55:46           LGN
 118  116         008-02:56:10           LGN
 118  117         008-02:56:34           LGN
 118  118         008-02:56:58           LGN
 118  119         008-02:57:22           LGN
 118  120         008-02:57:46           LGN
 118  121         008-02:58:10           LGN
 118  122         008-02:58:34           LGN
 118  161         008-03:14:09           LGN
 118  162         008-03:14:33           LGN
 118  163         008-03:14:57           LGN
 118  184         008-03:23:19           LGN
 118  204         008-03:31:18           LGN
 134   17         008-03:55:34           LGN
 134   18         008-03:55:58           BJC
 134   19         008-03:56:22           BJC
 134   20         008-03:56:46           BJC
 134   21         008-03:57:10           BJC
 134   22         008-03:57:33           BJC
 134   23         008-03:57:57           BJC
 134   24         008-03:58:21           BJC
 134   25         008-03:58:45           BJC
 134   26         008-03:59:09           BJC
 134   27         008-03:59:33           BJC
 134   28         008-03:59:57           BJC
 134   29         008-04:00:21           BJC
 134   30         008-04:00:44           BJC
 134   31         008-04:01:08           BJC
 134   32         008-04:01:32           BJC
 134   33         008-04:01:56           BJC
 134   34         008-04:02:20           BJC
 134   35         008-04:02:44           BJC
 134   36         008-04:03:08           BJC
 134   37         008-04:03:32           BJC
 134   38         008-04:03:56           BJC
 134   39         008-04:04:19           BJC
 134   40         008-04:04:43           BJC
 134   41         008-04:05:07           SNC
 134   42         008-04:05:31           SNC
 134   43         008-04:05:55           SNC
 134   44         008-04:06:19           SNC
 134   45         008-04:06:43           SNC
 134   46         008-04:07:07           SNC
 134   47         008-04:07:31           SNC
 134   48         008-04:07:55           SNC
 134   49         008-04:08:18           SNC
 134   50         008-04:08:42           SNC
 134   51         008-04:09:06           SNC
 134   52         008-04:09:30           SNC
 134   53         008-04:09:54           SNC
 134  106         008-04:31:03           LGN
 134  107         008-04:31:27           LGN
 134  108         008-04:31:51           LGN
 134  109         008-04:32:15           LGN
 134  110         008-04:32:39           LGN
 134  111         008-04:33:03           LGN
 134  112         008-04:33:27           LGN
 134  113         008-04:33:51           LGN
 134  114         008-04:34:15           LGN
 134  115         008-04:34:39           LGN
 134  116         008-04:35:03           LGN
 134  117         008-04:35:27           LGN
 134  118         008-04:35:51           LGN
 134  119         008-04:36:15           LGN
 134  120         008-04:36:39           LGN
 134  121         008-04:37:03           LGN
 134  122         008-04:37:27           LGN
 134  125         008-04:38:39           LGN
 134  130         008-04:40:39           LGN
 134  131         008-04:41:03           LGN
 134  132         008-04:41:27           LGN
 134  209         008-05:12:10           LGS
 150   17         008-05:34:27           LGN
 150   18         008-05:34:51           LGN
 150   19         008-05:35:15           KHC
 150   20         008-05:35:39           KHC
 150   21         008-05:36:03           KHC
 150   22         008-05:36:27           KHC
 150   23         008-05:36:50           KHC
 150   24         008-05:37:14           KHC
 150   25         008-05:37:38           KHC
 150   26         008-05:38:02           KHC
 150   27         008-05:38:26           KHC
 150   28         008-05:38:50           KHC
 150   29         008-05:39:14           KHC
 150   30         008-05:39:38           KHC
 150   31         008-05:40:01           KHC
 150   32         008-05:40:25           KHC
 150   33         008-05:40:49           KHC
 150   34         008-05:41:13           KHC
 150   35         008-05:41:37           KHC
 150   36         008-05:42:01           KHC
 150   37         008-05:42:25           KHC
 150   38         008-05:42:49           KHC
 150   39         008-05:43:13           KHC
 150   40         008-05:43:36           KHC
 150   41         008-05:44:00           KHC
 150   42         008-05:44:24           KHC
 150   43         008-05:44:48           KHC
 150   44         008-05:45:12           KHC
 150   45         008-05:45:36           KHC
 150   46         008-05:46:00           KHC
 150   92         008-06:04:21           LGN
 150  104         008-06:09:09           LGN
 150  105         008-06:09:33           LGN
 150  106         008-06:09:56           LGN
 150  107         008-06:10:20           LGN
 150  108         008-06:10:44           LGN
 150  109         008-06:11:08           LGN
 150  110         008-06:11:32           LGN
 150  111         008-06:11:56           LGN
 150  112         008-06:12:20           LGN
 150  113         008-06:12:44           LGN
 150  114         008-06:13:08           LGN
 150  115         008-06:13:32           LGN
 150  116         008-06:13:56           LGN
 150  117         008-06:14:20           LGN
 150  118         008-06:14:44           LGN
 150  119         008-06:15:08           LGN
 150  120         008-06:15:32           LGN
 150  121         008-06:15:56           LGN
 150  122         008-06:16:20           LGN
 150  132         008-06:20:20           LGN
 166   17         008-07:13:20           LGN
 166   18         008-07:13:44           LGN
 166   19         008-07:14:08           LGN
 166   20         008-07:14:32           LGN
 166   21         008-07:14:56           KHC
 166   22         008-07:15:20           KHC
 166   23         008-07:15:44           KHC
 166   24         008-07:16:07           KHC
 166   25         008-07:16:31           KHC
 166   26         008-07:16:55           KHC
 166   27         008-07:17:19           KHC
 166   28         008-07:17:43           KHC
 166   29         008-07:18:07           KHC
 166   30         008-07:18:31           KHC
 166   31         008-07:18:55           KHC
 166   32         008-07:19:18           KHC
 166   33         008-07:19:42           KHC
 166   34         008-07:20:06           KHC
 166   35         008-07:20:30           LGN
 166   36         008-07:20:54           LGN
 166   37         008-07:21:18           LGN
 166   38         008-07:21:42           LGN
 166   39         008-07:22:06           LGN
 166   40         008-07:22:30           LGN
 166   41         008-07:22:54           LGN
 166   42         008-07:23:17           LGN
