********  LANDSAT 9 SCENE CAPTURE SCHEDULE  ********

          ** All times listed in GMT **
--------------------------------------------------
Scenes collected by the LGS, and ASA stations
are scheduled for receipt and processing by EROS.
These scenes are available to the public from the
USGS Earth Resources Observation and Science (EROS)
archive:
https://www.usgs.gov/landsat-missions

Scenes scheduled for receipt by all other
International Ground Stations (IGS) must be
ordered through those stations.
For more information on IGS, please visit:
http://landsat.usgs.gov/about_ground_stations.php
Inclusion on this list does not guarantee that a
scene will actually be received by EROS.

--------------------------------------------------
PATH  ROW         IMAGE START          STATION
--------------------------------------------------
  94   54         016-00:03:08           LGN
  94   55         016-00:03:32           LGN
  94   56         016-00:03:56           LGN
  94   61         016-00:05:55           LGN
  94   62         016-00:06:19           LGN
  94   63         016-00:06:43           LGN
  94   64         016-00:07:07           LGN
  94   65         016-00:07:31           LGN
  94   66         016-00:07:55           LGN
  94   67         016-00:08:19           LGN
  94   71         016-00:09:55           LGN
  94   72         016-00:10:19           LGN
  94   73         016-00:10:43           ASN
  94   74         016-00:11:06           ASN
  94   75         016-00:11:30           ASN
  94   76         016-00:11:54           ASN
  94   77         016-00:12:18           ASN
  94   78         016-00:12:42           ASN
  94   79         016-00:13:06           ASN
  94   80         016-00:13:30           ASN
  94   81         016-00:13:54           ASN
  94   82         016-00:14:18           ASN
  94   83         016-00:14:42           ASN
  94   84         016-00:15:06           ASN
  94   85         016-00:15:30           ASN
  94   86         016-00:15:54           ASN
  94   87         016-00:16:18           ASN
  94   88         016-00:16:42           ASN
  94  106         016-00:23:53           LGN
  94  107         016-00:24:17           LGN
  94  108         016-00:24:41           LGN
  94  109         016-00:25:05           LGN
  94  110         016-00:25:29           LGN
  94  111         016-00:25:53           LGN
  94  112         016-00:26:17           LGN
  94  113         016-00:26:41           LGN
  94  114         016-00:27:05           LGN
  94  115         016-00:27:29           LGN
  94  116         016-00:27:53           LGN
  94  117         016-00:28:17           LGN
  94  118         016-00:28:41           LGN
  94  119         016-00:29:05           LGN
  94  120         016-00:29:29           LGN
  94  121         016-00:29:53           LGN
  94  122         016-00:30:17           LGN
 110   16         016-01:26:53           LGN
 110   17         016-01:27:17           LGN
 110   18         016-01:27:41           LGN
 110   19         016-01:28:05           LGN
 110   22         016-01:29:17           LGN
 110   23         016-01:29:40           BJC
 110   24         016-01:30:04           BJC
 110   25         016-01:30:28           BJC
 110   26         016-01:30:52           BJC
 110   27         016-01:31:16           BJC
 110   28         016-01:31:40           BJC
 110   34         016-01:34:03           BJC
 110   35         016-01:34:27           BJC
 110   36         016-01:34:51           BJC
 110   37         016-01:35:15           BJC
 110   57         016-01:43:13           LGN
 110   58         016-01:43:37           LGN
 110   59         016-01:44:01           LGN
 110   60         016-01:44:25           LGN
 110   61         016-01:44:48           LGN
 110   62         016-01:45:12           LGN
 110   63         016-01:45:36           LGN
 110   64         016-01:46:00           LGN
 110   65         016-01:46:24           LGN
 110   66         016-01:46:48           LGN
 110   67         016-01:47:12           LGN
 110   68         016-01:47:36           LGN
 110   69         016-01:48:00           ASN
 110   70         016-01:48:24           ASN
 110   71         016-01:48:48           ASN
 110   72         016-01:49:12           ASN
 110   73         016-01:49:36           ASN
 110   74         016-01:50:00           ASN
 110   75         016-01:50:23           ASN
 110   76         016-01:50:47           ASN
 110   77         016-01:51:11           ASN
 110   78         016-01:51:35           ASN
 110   79         016-01:51:59           ASN
 110   80         016-01:52:23           ASN
 110   81         016-01:52:47           ASN
 110   82         016-01:53:11           ASN
 110   83         016-01:53:35           ASN
 110   84         016-01:53:59           ASN
 110   85         016-01:54:23           ASN
 110  106         016-02:02:46           LGN
 110  107         016-02:03:10           LGN
 110  108         016-02:03:34           LGN
 110  109         016-02:03:58           LGN
 110  110         016-02:04:22           LGN
 110  111         016-02:04:46           LGN
 110  112         016-02:05:10           LGN
 110  113         016-02:05:34           LGN
 110  114         016-02:05:58           LGN
 110  115         016-02:06:22           LGN
 110  116         016-02:06:46           LGN
 110  117         016-02:07:10           LGN
 110  118         016-02:07:34           LGN
 110  119         016-02:07:58           LGN
 110  120         016-02:08:22           LGN
 110  121         016-02:08:46           LGN
 110  122         016-02:09:10           LGN
 110  209         016-02:43:53           LGN
 110  210         016-02:44:17           LGN
 110  211         016-02:44:41           LGS
 110  214         016-02:45:53           LGS
 126   16         016-03:05:46           LGN
 126   17         016-03:06:10           LGN
 126   18         016-03:06:34           BJC
 126   19         016-03:06:58           BJC
 126   20         016-03:07:22           BJC
 126   21         016-03:07:46           BJC
 126   22         016-03:08:10           BJC
 126   23         016-03:08:33           BJC
 126   24         016-03:08:57           BJC
 126   25         016-03:09:21           BJC
 126   26         016-03:09:45           BJC
 126   27         016-03:10:09           BJC
 126   28         016-03:10:33           BJC
 126   29         016-03:10:57           BJC
 126   30         016-03:11:21           BJC
 126   31         016-03:11:44           BJC
 126   32         016-03:12:08           BJC
 126   33         016-03:12:32           BJC
 126   34         016-03:12:56           BJC
 126   35         016-03:13:20           BJC
 126   36         016-03:13:44           BJC
