********  LANDSAT 9 SCENE CAPTURE SCHEDULE  ********

          ** All times listed in GMT **
--------------------------------------------------
Scenes collected by the LGS, and ASA stations
are scheduled for receipt and processing by EROS.
These scenes are available to the public from the
USGS Earth Resources Observation and Science (EROS)
archive:
https://www.usgs.gov/landsat-missions

Scenes scheduled for receipt by all other
International Ground Stations (IGS) must be
ordered through those stations.
For more information on IGS, please visit:
http://landsat.usgs.gov/about_ground_stations.php
Inclusion on this list does not guarantee that a
scene will actually be received by EROS.

--------------------------------------------------
PATH  ROW         IMAGE START          STATION
--------------------------------------------------
  99   16         019-00:18:53           LGN
  99   17         019-00:19:17           LGN
  99   18         019-00:19:41           LGN
  99   19         019-00:20:04           LGN
  99   20         019-00:20:28           LGN
  99   21         019-00:20:52           LGN
  99   22         019-00:21:16           LGN
  99   23         019-00:21:40           LGN
  99   24         019-00:22:04           LGN
  99   25         019-00:22:28           LGN
  99   54         019-00:34:01           LGN
  99   55         019-00:34:24           LGN
  99   56         019-00:34:48           LGN
  99   61         019-00:36:48           LGN
  99   62         019-00:37:12           LGN
  99   63         019-00:37:36           LGN
  99   64         019-00:38:00           LGN
  99   65         019-00:38:24           LGN
  99   66         019-00:38:48           LGN
  99   67         019-00:39:11           LGN
  99   68         019-00:39:35           LGN
  99   69         019-00:39:59           LGN
  99   70         019-00:40:23           ASN
  99   71         019-00:40:47           ASN
  99   72         019-00:41:11           ASN
  99   73         019-00:41:35           ASN
  99   74         019-00:41:59           ASN
  99   75         019-00:42:23           ASN
  99   76         019-00:42:47           ASN
  99   77         019-00:43:11           ASN
  99   78         019-00:43:35           ASN
  99   79         019-00:43:59           ASN
  99   80         019-00:44:23           ASN
  99   81         019-00:44:47           ASN
  99   82         019-00:45:11           ASN
  99   83         019-00:45:35           ASN
  99   84         019-00:45:58           ASN
  99   85         019-00:46:22           ASN
  99  106         019-00:54:46           LGN
  99  107         019-00:55:10           LGN
  99  108         019-00:55:34           LGN
  99  109         019-00:55:58           LGN
  99  110         019-00:56:22           LGN
  99  111         019-00:56:46           LGN
  99  112         019-00:57:10           LGN
  99  113         019-00:57:34           LGN
  99  114         019-00:57:58           LGN
